hop ip rtt 
1  192.168.1.1 0.3622743818495009 Local
2  200.3.60.192 12.242683550206626 Entre Ríos Province, AR
3  181.88.108.18 16.01932973277812 Entre Ríos Province, AR
4  190.225.252.166 13.850709225269075 Entre Ríos Province, AR
5  195.22.220.213 11.73698902130127 Italia
6  195.22.219.3 38.765014920915874 Italia
7  195.22.219.3 38.63450288772583 Italia
8  149.3.181.65 87.87629770678143 Italia
9  129.250.2.227 208.21547508239746 Colorado, US
10 129.250.4.13 281.09476301405164 Colorado, US
11 129.250.2.38 422.2097496191661 Colorado, US
12 129.250.5.134 429.556076725324 Colorado, US
13 129.250.6.115 432.5178289413452 Colorado, US
14 203.131.246.154 452.0474338531494 Hong Kong
15 115.160.187.110 444.4697570800781 Hong Kong
16 202.130.98.102 440.4100704193115 Hong Kong
17 203.188.117.130 440.652494845183 Hong Kong
18 202.14.80.153 443.6284065246582 Hong Kong
19 143.89.14.2 448.84382247924805 Hong Kong
