hop ip rtt
1 192.168.0.1      1.38  
2 *                0     
3 *                0     
4 *                0     
5 *                0     
6 200.89.165.9     14.06 
7 200.89.165.250   14.71 
8 190.216.88.33    16.23 
9 67.17.94.249     240.04
10 *               0     
11 *               0     
12 4.68.127.54     213.49
13 129.250.4.250   229.91
14 129.250.2.219   271.08
15 129.250.7.69    269.29
16 129.250.3.123   273.33
17 204.1.253.166   269.75
18 202.158.194.172 371.34
19 113.197.15.68   377.51
20 113.197.15.66   377.32
21 113.197.15.152  418.35
22 138.44.5.47     371.39
23 *               0     
24 *               0     
25 129.78.5.8      446.28
